54,Heatwave,A heatwave is a prolonged period of extremely hot weather. Staying hydrated and avoiding outdoor activities during peak heat helps reduce risk.
55,Cold Wave,A cold wave is a sudden drop in temperature that can cause frostbite and hypothermia. Wearing layered clothing and staying indoors is recommended.
56,Blizzard,A blizzard is a severe snowstorm with strong winds and low visibility. People should stay indoors and avoid unnecessary travel.
57,Hailstorm,"Hailstorms produce balls of ice that can damage crops, vehicles, and buildings. Shelter and protective roofing can reduce damage."
58,Thunderstorm,"Thunderstorms bring lightning, heavy rain, and strong winds. Avoid open areas and unplug electrical appliances during storms."
59,Dust Storm,Dust storms occur in dry regions when strong winds lift dust into the air. Wearing masks and staying indoors helps protect health.
60,Sandstorm,Sandstorms are intense windstorms carrying sand particles. People should cover their eyes and nose to prevent irritation.
61,Glacial Lake Outburst Flood,This occurs when a glacial lake suddenly releases water due to dam failure. Communities near glaciers should monitor lake levels.
62,Urban Flood,Urban floods happen when drainage systems fail during heavy rainfall. Proper urban planning helps mitigate risks.
63,Flash Flood,Flash floods occur suddenly due to intense rainfall. Immediate evacuation to higher ground is essential.
64,Storm Surge,Storm surges are abnormal rises in sea level during storms. Coastal areas should follow evacuation guidelines.
65,Coastal Erosion,Coastal erosion occurs when waves and currents remove soil along coastlines. Sea walls and vegetation help reduce erosion.
66,Sinkhole,Sinkholes occur when ground collapses due to underground voids. Avoid construction on unstable land areas.
67,Mine Collapse,Mine collapses happen due to structural failures underground. Proper safety regulations help prevent accidents.
68,Oil Spill,Oil spills release petroleum into oceans causing environmental damage. Quick containment helps reduce harm.
69,Chemical Leak,Chemical leaks release hazardous substances into the environment. Evacuation and protective gear are essential.
70,Nuclear Accident,Nuclear accidents involve radiation leakage from reactors. Authorities must enforce evacuation and containment measures.
71,Industrial Explosion,Industrial explosions occur in factories due to chemical reactions or gas leaks. Safety inspections reduce such risks.
72,Building Collapse,Buildings may collapse due to structural weakness or disasters. Strict building codes help prevent such incidents.
73,Bridge Collapse,Bridge collapse occurs due to structural failure or overload. Regular inspections ensure safety.
74,Train Derailment,Train derailments occur when trains leave the track due to faults or obstacles. Monitoring rail infrastructure is crucial.
75,Airplane Crash,Airplane crashes result from mechanical failure or weather conditions. Aviation safety standards minimize risks.
76,Shipwreck,"Shipwrecks occur due to storms, collisions, or navigation errors. Maritime safety systems help prevent disasters."
77,Forest Fire,Forest fires spread rapidly through dry vegetation. Firebreaks and monitoring reduce wildfire risks.
78,Grassland Fire,Grassland fires occur in dry plains and spread quickly with wind. Early detection is essential.
79,Peat Fire,Peat fires burn underground organic material and are difficult to extinguish. Water saturation helps control them.
80,Methane Explosion,Methane explosions occur in mines or industrial areas due to gas accumulation. Proper ventilation is required.
81,Gas Pipeline Explosion,Pipeline explosions release flammable gases causing fires. Regular inspections reduce such incidents.
82,Dam Break,Dam breaks release massive water causing catastrophic floods downstream. Structural monitoring prevents failures.
83,Power Grid Failure,Power grid failures cause widespread electricity outages. Backup systems ensure continuity.
84,Cyber Attack on Infrastructure,Cyber attacks can disrupt critical infrastructure like power and transport systems. Strong cybersecurity is essential.
85,Pandemic,Pandemics are global outbreaks of infectious diseases. Vaccination and public health measures help control spread.
86,Epidemic,An epidemic is a rapid spread of disease within a region. Early detection and treatment help contain outbreaks.
87,Locust Swarm,Locust swarms devastate crops across large regions. Monitoring and pesticides help control them.
88,Crop Failure,"Crop failure occurs due to drought, pests, or disease. Diversified agriculture reduces impact."
89,Water Contamination,Water contamination occurs when harmful substances pollute water supplies. Water treatment ensures safety.
90,Food Shortage,Food shortages occur when supply fails due to disasters or conflict. Strategic reserves help manage crises.
91,Refugee Crisis,Refugee crises arise when disasters or conflicts displace populations. Humanitarian aid provides support.
92,Civil Unrest,Civil unrest can disrupt social stability and cause property damage. Conflict resolution strategies help maintain peace.
93,Terrorist Attack,Terrorist attacks cause destruction and fear in societies. Security measures help prevent such events.
94,Mass Shooting,Mass shootings involve firearm violence in public spaces. Law enforcement and security monitoring reduce risks.
95,Space Debris Impact,Space debris can fall to Earth causing localized damage. Monitoring orbital objects helps predict risks.
96,Meteor Impact,"Meteor impacts occur when space rocks strike Earth. Though rare, monitoring helps detect potential threats."
97,Solar Storm,Solar storms can disrupt satellites and power grids. Space weather forecasting helps prepare systems.
98,Electromagnetic Pulse,EMP events can disable electronic devices over large areas. Shielding technology protects critical systems.
99,Water Dam Overflow,Overflow occurs when dams exceed capacity during heavy rainfall. Controlled water release prevents disasters.
100,Riverbank Erosion,Riverbank erosion gradually removes soil near rivers. Reinforcement structures protect communities.
101,Ice Storm,Ice storms coat surfaces with freezing rain causing damage and power outages. Staying indoors is advised.
